timestamp,flight_id,gate,aircraft_type,weather_condition,baggage_delay_minutes,fuel_trucks_available,staff_availability,runway_congestion,arrival_delay_minutes,taxi_time_minutes,scheduled_turnaround_minutes,passenger_count,peak_hour,delay_probability,actual_turnaround_delay_minutes
2025-01-01 05:14:00,UK222,B16,A320,Clear,3,5,Medium,Low,9,14,64,169,0,0.066,0
2025-01-01 05:19:00,AI824,C6,B777,Clear,13,7,High,Low,3,7,90,313,0,0.059,6
2025-01-01 05:23:00,UK818,C12,B737,Rain,5,8,Medium,Low,11,9,59,207,0,0.133,0
2025-01-01 05:38:00,AI267,E1,B737,Clear,12,5,Low,Medium,2,8,44,167,0,0.202,11
2025-01-01 05:46:00,BA455,A27,A320,Rain,2,7,Medium,Low,2,14,50,155,0,0.11,0
2025-01-01 05:53:00,AF629,D11,A320,Clear,0,5,Medium,Medium,9,12,65,141,0,0.083,2
2025-01-01 06:00:00,IX270,D3,ATR72,Rain,8,3,Medium,Medium,14,10,36,74,1,0.237,18
2025-01-01 06:06:00,EK229,B27,B787,Rain,9,3,Medium,High,15,19,101,243,1,0.303,7
2025-01-01 06:21:00,IX850,D1,B737,Clear,10,0,Medium,High,13,14,52,177,1,0.325,9
2025-01-01 06:26:00,6E889,C22,B737,Clear,18,2,Medium,High,5,11,52,161,1,0.314,23
2025-01-01 06:40:00,AI443,A24,ATR72,Clear,12,0,Low,High,1,17,34,75,1,0.421,20
2025-01-01 06:55:00,LH378,D13,B777,Rain,22,0,Low,High,0,19,119,384,1,0.51,24
2025-01-01 07:13:00,AF165,B5,B787,Windy,14,2,High,High,13,20,93,287,1,0.366,6
2025-01-01 07:25:00,IX829,D19,A320,Windy,16,5,Medium,Medium,0,9,45,168,1,0.169,5
2025-01-01 07:30:00,QR742,A2,A320,Clear,22,2,High,High,2,17,43,162,1,0.326,21
2025-01-01 07:43:00,6E608,B5,A320,Clear,8,3,High,Medium,0,11,67,156,1,0.133,13
2025-01-01 07:53:00,BA623,A6,A320,Clear,10,3,Medium,Medium,20,15,69,147,1,0.201,4
2025-01-01 07:57:00,EK156,E15,A321,Clear,10,5,Medium,Medium,0,11,80,239,1,0.138,32
2025-01-01 08:01:00,BA979,B24,A321,Windy,14,3,Medium,Medium,14,11,65,215,1,0.208,17
2025-01-01 08:06:00,QR270,B35,A320,Rain,14,5,Medium,Medium,27,18,54,145,1,0.301,3
2025-01-01 08:13:00,EK261,E12,B737,Windy,5,5,Medium,Medium,0,10,67,182,1,0.147,7
2025-01-01 08:20:00,IX891,B11,A320,Clear,7,2,High,Medium,21,18,48,167,1,0.303,12
2025-01-01 08:32:00,6E687,C30,A320,Fog,22,2,Low,High,27,15,44,153,1,0.611,12
2025-01-01 08:45:00,6E333,A6,A320,Rain,9,3,High,Medium,7,13,47,149,1,0.225,9
2025-01-01 08:49:00,AF102,E15,A321,Fog,15,2,Low,High,19,13,88,205,1,0.57,25
2025-01-01 09:01:00,AI979,D1,A350,Windy,8,4,High,Medium,8,16,114,314,1,0.187,0
2025-01-01 09:08:00,AI350,A27,A320,Clear,13,3,Medium,High,4,15,62,167,1,0.208,13
2025-01-01 09:23:00,AI583,A34,A321,Clear,12,0,Medium,High,0,15,102,212,1,0.294,18
2025-01-01 09:37:00,EK492,B30,B737,Rain,13,1,Medium,High,15,23,43,181,1,0.419,16
